83,11,84,None,None,1,112
84,12,85,None,None,3,260
84,11,85,None,None,0,0
85,12,86,None,None,8,666
85,11,86,None,None,0,0
86,12,87,None,None,9,955
86,11,87,None,None,6,795
87,12,88,None,None,6,496
87,11,88,None,None,3,272
88,12,89,None,None,6,524
88,11,89,None,None,4,380
89,12,90,None,None,8,1676
89,11,90,None,None,13,14061
90,12,91,None,None,391,28898
90,11,91,None,None,651,971941
91,12,92,None,None,395,27549
91,11,92,None,None,651,973436
92,12,93,None,None,3,192
92,11,93,None,None,1,66
93,12,94,None,None,11,865
93,11,94,None,None,5,450
94,12,95,None,None,10,630
94,11,95,None,None,6,470
95,12,96,None,None,6,454
95,11,96,None,None,2,186
96,12,97,None,None,4,252
96,11,97,None,None,2,140
97,12,98,None,None,2,120
97,11,98,None,None,0,0
98,12,99,None,None,4,295
98,11,99,None,None,3,423
99,12,100,None,None,6,4122
99,11,100,None,None,4,1451
100,12,101,None,None,843,59485
100,11,101,None,None,1522,2290861
101,12,103,None,None,23,1913
101,11,103,None,None,13,6264
102,12,104,None,None,15,2915
102,11,104,None,None,12,4898
103,12,105,None,None,6,360
103,11,105,None,None,5,2480
104,12,106,None,None,3,186
104,11,106,None,None,1,74
105,12,107,None,None,7,599
105,11,107,None,None,3,210
106,12,108,None,None,8,601
106,11,108,None,None,5,569
107,12,109,None,None,2,600
107,11,109,None,None,1,60
108,12,110,None,None,4,258
108,11,110,None,None,3,200
109,12,111,None,None,1,60
109,11,111,None,None,0,0
110,12,112,None,None,601,54322
110,11,112,None,None,977,1455557
111,12,113,None,None,353,23374
111,11,113,None,None,364,546343
112,12,114,None,None,4,304
112,11,114,None,None,1,112
113,12,115,None,None,1,60
113,11,115,None,None,0,0
114,12,116,None,None,3,180
114,11,116,None,None,1,140
115,12,117,None,None,6,1515
115,11,117,None,None,4,274
116,12,118,None,None,7,3475
116,11,118,None,None,3,202
117,12,119,None,None,27,4425
117,11,119,None,None,22,7186
118,12,120,None,None,16,4437
118,11,120,None,None,12,4635
119,12,121,None,None,17,3430
119,11,121,None,None,12,3377
120,12,122,None,None,27,4696
120,11,122,None,None,35,28174
121,12,123,None,None,351,29549
121,11,123,None,None,598,885766
122,12,124,None,None,26,5802
122,11,124,None,None,36,28286
123,12,125,None,None,1924,141748
123,11,125,None,None,3383,5066346
124,12,126,None,None,1035,71931
124,11,126,None,None,1634,2462486
125,12,127,None,None,1,60
125,11,127,None,None,0,0
126,12,128,None,None,1,60
126,11,128,None,None,0,0
127,12,130,None,None,3,198
127,11,130,None,None,2,134
128,12,131,None,None,1,60
128,11,131,None,None,0,0
129,12,132,None,None,1,60
129,11,132,None,None,0,0
130,12,133,None,None,3,286
130,11,133,None,None,0,0
131,12,134,None,None,8,629
131,11,134,None,None,7,722
132,12,135,None,None,12,2999
132,11,135,None,None,6,2594
133,12,136,None,None,11,704
133,11,136,None,None,9,2879
134,12,137,None,None,7,2700
134,11,137,None,None,4,270
135,12,138,None,None,14,3543
135,11,138,None,None,13,2921
136,12,139,None,None,36,4523
136,11,139,None,None,32,7051
137,12,140,None,None,11,4418
137,11,140,None,None,8,991
138,12,141,None,None,14,2710
138,11,141,None,None,14,4724
139,12,142,None,None,1,60
139,11,142,None,None,1,60
140,12,143,None,None,11,2548
140,11,143,None,None,9,2460
141,12,144,None,None,10,628
141,11,144,None,None,8,2574
142,12,145,None,None,10,1815
142,11,145,None,None,5,369
143,12,146,None,None,3,186
143,11,146,None,None,3,204
144,12,147,None,None,1,60
144,11,147,None,None,0,0
145,12,148,None,None,3,216
145,11,148,None,None,2,148
146,12,149,None,None,7,556
146,11,149,None,None,1,68
147,12,150,None,None,3,238
147,11,150,None,None,2,178
148,12,151,None,None,10,2263
148,11,151,None,None,6,1064
149,12,152,None,None,7,2279
149,11,152,None,None,12,5306
150,12,153,None,None,27,3956
150,11,153,None,None,16,2795
151,12,154,None,None,3,198
151,11,154,None,None,2,132
152,12,155,None,None,5,321
152,11,155,None,None,3,194
153,12,156,None,None,2,178
153,11,156,None,None,3,244
154,12,157,None,None,3,192
154,11,157,None,None,4,264
155,12,158,None,None,10,684
155,11,158,None,None,9,610
156,12,159,None,None,5,336
156,11,159,None,None,3,208
157,12,160,None,None,1,112
157,11,160,None,None,1,112
158,12,161,None,None,1,66
158,11,161,None,None,0,0
159,12,162,None,None,0,0
159,11,162,None,None,0,0
